archivo,duration,rms,tempo,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6
Björk - Big Time Sensuality.mp3,236.64,0.11052803,[117.45383523],0.10108966993021146,4261.901168712363,4002.3652526694627,8799.695635705153,21.707368194639237,-202.25784,85.240814,-19.48452,54.934338,-7.031261,41.936806,-2.8608663,24.324701,3.7239528,12.212059,8.020497,8.09821,2.9853141,0.55955017,0.57160914,0.5760959,0.6219186,0.5762236,0.55952257,0.506188,0.5646225,0.5793848,0.5668157,0.6188597,0.5566699,0.006254576307343159,-0.02662641234455716,-0.027259164329886707,0.04360694607504755,0.007518559309294009,0.010464795503016195
Blackky - s Skank.mp3,313.28362811791385,0.114726685,[105.46875],0.09303180948327774,3484.948528243433,3324.785378319929,6938.115348370623,20.403186991812483,-157.12012,117.76953,-63.91616,38.18107,-10.921204,35.53699,-5.977024,20.12545,-5.364863,12.152843,-0.7141998,6.7972136,8.221157,0.5666579,0.48873967,0.53532606,0.6015217,0.5570564,0.5727923,0.53693146,0.58681554,0.5125407,0.48785025,0.5076874,0.49370936,-0.02769538922645158,0.04188150698720424,0.08189731047450612,0.08086534589655006,0.0022242732902539863,-0.02782469445879472
Boundary - Critica Veintena.mp3,365.90167800453514,0.19875242,[123.046875],0.052910665647706,2734.6449265801366,3255.4257223375225,6048.480467262708,20.698357314376477,-132.38564,150.172,7.4451613,39.580215,-13.901214,14.097296,-5.2159076,17.996532,-6.0852194,7.2049756,-4.2017384,7.21746,-2.9594603,0.52993023,0.65659046,0.565719,0.66572475,0.6080207,0.593816,0.6546411,0.52741563,0.6309535,0.56749517,0.62976855,0.60209244,-0.07032413346825302,-0.12581724809018774,0.0005418278907839044,-0.021563032333403058,-0.006437055001335191,0.015115312312032399
Buena Vista Social Club - Candela.mp3,331.4416326530612,0.12263023,[101.33272059],0.043542068707529163,2150.823007034684,2845.971414833353,4666.25243345323,21.334587404995677,-181.65952,162.71814,-23.987349,47.733227,-15.976934,26.709127,-11.082084,6.334598,-1.0061564,-6.961306,4.0339603,-8.7451725,9.922894,0.45837843,0.35530975,0.3570193,0.38912493,0.5273552,0.4099683,0.30342552,0.29174063,0.33684018,0.46069083,0.46477136,0.50945246,0.17794483547924023,-0.005588605215700141,-0.02540332744032242,0.00924389342036877,-0.02761213108971442,-0.003122729897516081
Buscabulla - Tártaro.mp3,223.48226757369613,0.1660278,[109.95678191],0.06847628348214285,3254.3325592872316,3356.924066682187,6869.572798295455,21.99109694384339,-165.13074,116.66534,-17.062866,32.662975,-18.479235,18.843414,-0.07449325,10.635129,-7.7537613,6.64278,4.4718165,0.5423501,3.144251,0.47757864,0.4450976,0.50978005,0.46476427,0.54164803,0.50087786,0.35343295,0.4001246,0.44041646,0.54852784,0.46521905,0.4431191,0.03660270392943777,0.09028216323234502,-0.02346797403435574,-0.05157801316930103,0.0063222005222951985,-0.0166314962041661
"C. Tangana, Niño de Elche & La Hungara - Tú Me Dejaste De Querer.mp3",198.49333333333334,0.26467016,[84.72079918],0.04264191543106978,2228.8492183138565,2790.8705671013518,4624.818670216266,22.23777170786274,-154.53021,147.09633,-9.615804,44.400753,6.028822,18.442781,-5.0575824,7.9950185,-4.559986,2.141125,-4.488578,0.83623904,-1.9246814,0.49615157,0.40217733,0.42358598,0.45678738,0.5447364,0.5358488,0.5661545,0.6388851,0.4937397,0.43000638,0.4470304,0.498112,0.15462884716206776,-0.02215560621035169,0.16184108310420267,0.061588131851720546,0.03042769094442541,-0.007029104510159134
Calixto Ochoa - Recordando El Pasado.mp3,159.43716553287982,0.21855451,[92.28515625],0.08187420213855312,3176.979916427427,2773.119153134545,6143.236417582192,24.342274013326747,-146.36829,123.15599,-57.740566,89.18617,-10.641604,11.383439,6.1074376,8.022641,7.8774157,-0.8485864,2.5374475,3.1698956,-3.0735521,0.46847337,0.40010694,0.44507346,0.41673577,0.4340639,0.5000635,0.47480685,0.5175394,0.50600135,0.65299827,0.6226251,0.4764567,0.0295882799102804,-0.07792107767144234,-0.08579302491581325,-0.07448610987933263,0.0002433778731619525,-0.01890945004234586
Celia Cruz - Acuario.mp3,222.1822902494331,0.16167374,[147.65625],0.05040556072179695,2203.013241781957,2611.5859230064275,4396.588835754618,22.22068891148104,-149.55505,154.63356,-40.3506,35.82056,-2.2684906,10.134992,-5.6079574,9.387216,-1.5731161,-2.86372,-0.7419492,5.3368187,4.9002047,0.36168408,0.30700657,0.33038715,0.3750379,0.4342178,0.42703405,0.45713627,0.5149141,0.42255944,0.40830967,0.35788456,0.3487115,0.048235880109920165,0.04805671079087925,0.08416793797748533,0.06952848263883553,0.01226826636790981,-0.005734688498235779
Chaka Demus & Pliers - Twist And Shout (feat. Jack Radics & The Taxi Gang).mp3,237.5633560090703,0.1460174,[129.19921875],0.06581099690600108,2745.864287180054,2967.8622877877206,6040.274462597126,20.537672154866353,-136.00014,150.94221,-43.97764,66.063324,-25.427788,21.039625,0.4834677,11.025809,-0.40950263,5.8867717,0.93129504,7.8184175,3.818329,0.48162493,0.5380975,0.56778437,0.4842209,0.47529402,0.42446533,0.43833372,0.4471316,0.49455175,0.5510234,0.49317652,0.4981026,0.09098765354396916,-0.0014464248632598687,-0.021501966319435826,-0.04810328240670333,0.009116470701593287,-4.40021475252126e-05
Charif Megarbane - 3aks el Seir.mp3,165.75,0.18686941,[103.359375],0.06359537521012817,2625.2544188066586,2593.8216109498694,5260.289888648482,21.7736454646088,-124.34854,156.93126,-70.859955,62.751995,-3.248738,26.628252,-0.7911241,7.3786645,18.086258,-12.736123,11.652231,-2.601824,4.049725,0.4568369,0.45041516,0.5725809,0.5093078,0.5862364,0.58904654,0.52268445,0.58244157,0.6107149,0.65724057,0.53972375,0.4624717,0.12509660807998965,0.03069770281213254,-0.06465506374006474,-0.02426942620733531,-0.014082405757024982,-0.0025572873442878904
Chicha Libre - The Guns of Brixton.mp3,248.92,0.15727353,[92.28515625],0.05241511681037498,2093.263086032525,2457.6551501015133,3874.002108074192,21.302953175682816,-162.06711,165.11012,-41.99103,14.244529,7.3068204,11.020697,-10.13421,5.0383873,-1.7482734,7.616912,3.2686114,0.25156292,1.8538045,0.5194591,0.5652882,0.53168,0.3715568,0.3347479,0.3685924,0.5509749,0.4323353,0.32550183,0.37127885,0.37860394,0.50680184,0.07270707076364362,-0.07646252258394054,0.12121102279028466,-0.12513816968418984,-0.014290214481591014,0.01683802443391179
Chico Cervantes - La Cumbia de la Paz.mp3,250.659410430839,0.11336854,[97.50884434],0.09398291225944838,3601.199912428297,3357.3381149046013,7217.035886534754,21.7069885514689,-164.92287,110.126015,-54.427853,60.32272,-13.587279,31.56461,-14.378118,22.819227,1.8133874,7.322097,-1.4815917,4.878394,7.035287,0.46903938,0.44864786,0.46485347,0.50426847,0.45913398,0.41835365,0.3955631,0.49567425,0.4607937,0.4219496,0.4572058,0.43450987,-0.010344250066985255,0.14488574111295968,0.06746111336889658,0.07245525013530159,0.0031741816707073042,0.025407016746608623
Coldhot and Mong Tong - Why Don't We Try This_(Mong Tong Remix).mp3,215.2577777777778,0.2521138,[97.50884434],0.04035442671815166,1909.9543006358938,2347.328792282832,3811.151644813353,19.4658698863352,-142.65004,166.35847,-28.805466,30.911055,4.7384696,14.147025,-5.670221,7.0033875,0.40746963,2.9618733,3.1213572,0.9624307,5.6731877,0.58415693,0.6510912,0.6249262,0.5889364,0.52442956,0.51750684,0.54966533,0.54904705,0.54038066,0.48447466,0.47443482,0.5083341,-0.0476476546349648,-0.09485149560124992,-0.026441482355177532,-0.027329279070517774,0.006297408236793718,0.00642502750262848
"Conjunto Ingeniería, El Dragón Criollo & El Palmas - La Bola.mp3",260.1970068027211,0.12583093,[120.18531977],0.04514085210350482,1613.5054544866812,1767.4072811674382,2984.29423054265,22.52346678477073,-205.71959,188.81657,-38.582794,19.621609,4.141288,0.47126508,-7.654346,-4.282708,-1.0623013,-7.935813,-5.5160213,-2.718364,-1.5239,0.48540094,0.32511857,0.3676668,0.32651603,0.43245557,0.3907165,0.31765187,0.4119834,0.34331277,0.39249516,0.41858578,0.4219043,0.05608818631776281,0.19275318874626995,0.046743954290592575,0.09392550387016886,0.04088223839122828,-0.004521890994858623
Cracy Coconuts - Rubberdub Dance.mp3,260.88149659863944,0.1299521,[143.5546875],0.08124849197994082,3502.33358750749,3518.7880762097243,7251.503315645025,21.56935993122406,-163.7488,110.64828,-24.709644,60.3292,-4.7610264,21.137856,-8.82597,8.298938,-1.8006232,3.5249825,2.403973,2.3319335,-0.80064756,0.44960648,0.4856445,0.58697665,0.5258279,0.53289884,0.5186951,0.44342938,0.462963,0.49542212,0.5426666,0.40659538,0.4156853,0.12162766587537961,0.0752273462773211,-0.046325485699846444,-0.06738860564266427,-0.0282125225993205,0.0038752124153810723
Dengue Dengue Dengue - Serpiente Dorada.mp3,189.61414965986395,0.24392803,[79.50721154],0.07323590947009123,3404.2847638160556,3249.373835035803,6902.225480885133,21.087350167589342,-117.242516,102.21124,-46.233437,63.355217,-7.543697,33.605362,5.7126913,25.631386,10.20184,11.442471,10.021896,6.1180105,8.593497,0.5794467,0.591268,0.67007387,0.6652432,0.687469,0.6699573,0.63632995,0.6583727,0.6163565,0.59950036,0.6052218,0.6033686,-0.006361536839603051,0.05124164368103973,0.11899160266128733,-0.03314907266189599,0.008106038833294015,-0.013589631836672745
Diego El Cigala - Bésame Mucho (Audio).mp3,294.08,0.22383043,[95.703125],0.04394222821259376,2502.825992295879,3110.3207983454686,5520.686527678396,22.207416693261,-139.94023,144.75787,-0.97908264,38.08792,-15.010773,13.449912,-11.096262,10.847805,-7.1313972,2.0983262,-1.6136898,4.026726,-1.2533041,0.45597842,0.37740806,0.29647964,0.325635,0.3769727,0.47483695,0.4056052,0.39927402,0.39969245,0.34671947,0.3564101,0.3596531,-0.10312679294617125,0.16342330917208955,-0.07315971371028361,0.02838167885667319,-0.011503327187787156,0.0028212041301395327
Dizzy K - Omoge.mp3,246.4798185941043,0.18153532,[117.45383523],0.07249342518752061,2975.719578390353,2991.550129755632,6001.149851632047,20.65103800622574,-127.5737,135.64459,-37.866226,57.446804,-6.5745735,15.893937,-7.1810646,7.003999,-3.5763054,2.61529,-0.5941015,1.5018103,1.8123947,0.564284,0.49707997,0.54708225,0.5282033,0.57502675,0.48716918,0.47928327,0.54229546,0.463673,0.4702568,0.47397557,0.5862556,0.06588213474327523,-0.012726631101964795,0.04686833113533217,0.013770487973493097,0.002994993368428146,-0.0045396078736052595
"DJ Nu-Mark - Everybody Everybody (feat. Bacao Rhythm & Steel Band, Bacao Rhythm & Steel Band).mp3",245.01696145124717,0.20947939,[117.45383523],0.07125893967661691,2944.636734392178,3160.068725532242,6064.647854477612,21.934811509772302,-110.02173,140.63843,-32.17477,41.179626,-19.434504,20.230408,-12.728786,9.1091795,-6.0325117,7.222418,-6.161585,-0.6052934,-4.0560393,0.613081,0.46941724,0.34544063,0.40009663,0.34853828,0.3897999,0.30122763,0.3573297,0.38086438,0.38114768,0.49538496,0.4170107,-0.06927603374638851,0.10098258048371489,-0.048991573180229335,0.06999068905742169,-0.005906173185052601,0.0013266981720242157
"Donald - A Ver, A Ver (Ric Piccolo Edit).mp3",305.9693424036281,0.14881967,[107.66601562],0.08336692293326693,3008.442958565717,2948.1147076558727,6081.510909487052,21.081851586594105,-143.35815,135.59627,-43.65946,59.339584,-11.210162,12.850495,-5.360132,7.2727327,-5.6040225,5.341833,0.5657377,-1.6045997,-1.7098272,0.5749385,0.6454614,0.5205505,0.5212337,0.55181086,0.48753953,0.49613062,0.46344534,0.56223947,0.57597244,0.5253472,0.5785984,0.017268911388605746,-0.09348767076644296,-0.044168016650651086,-0.0055926285506449,0.006838061523170993,-0.002828821786211766
Ecos Del Siboney - Tengo un Son.mp3,188.97333333333333,0.18666206,[99.38401442],0.043966641244163544,2575.840556804278,3324.0831394712304,5623.814634794303,21.287613227633333,-138.71278,134.93173,-18.6602,44.331596,-6.662216,21.572535,-5.3181224,13.317485,-4.6495852,3.9526412,-5.775971,8.462355,5.00621,0.4305498,0.44706157,0.53893477,0.42438614,0.50656754,0.5231056,0.40028757,0.40028977,0.44260448,0.49109662,0.4664392,0.432158,0.035539635274056125,0.05981212677220106,-0.09345553991730797,0.011949989965666461,-0.020203738946392907,0.01899019536054348
Electric Mind - Zwei (JAGO Remix).mp3,340.9905215419501,0.17813636,[117.45383523],0.058796387300611146,2225.0255018922,2531.098691137471,4202.947522375387,20.598345016468294,-166.81631,155.7585,-30.55132,17.101295,0.7135568,13.08814,-6.4171844,2.5814238,-5.2707963,1.9496295,-3.9778242,1.0098573,1.7770762,0.40523815,0.4571057,0.50789636,0.45046234,0.52013624,0.46993688,0.5748888,0.5144774,0.4050047,0.40502596,0.37254083,0.48236573,0.12671835044689614,-0.06288237824546562,0.05812406603980892,-0.003688442945585761,0.02510174952815235,-0.0232582197600118
Elia y Elizabeth - Alegría.mp3,241.27854875283447,0.17462271,[103.359375],0.06109283466354713,2709.7228776780003,3188.3008639660197,5669.380621237159,22.095713941874173,-149.26567,142.87648,-22.020035,43.401535,-10.726738,23.813044,-11.860191,10.315035,-4.5432844,5.529605,-0.7995898,-0.8529821,-4.0083356,0.3241137,0.28038266,0.31475812,0.32526293,0.4475772,0.42010766,0.34858635,0.43747696,0.4512414,0.5652273,0.48590758,0.44795498,0.21824514889947097,-0.07540080911152618,-0.06625770856446862,0.09730038171944531,0.031952128658567246,0.011224396305236216
Francisco Zapata - Cumbia Candelosa-1.mp3,172.94079365079364,0.15445468,[95.703125],0.05573807828024302,2607.357693757901,2909.6860741959804,5464.942209344161,22.19497863842035,-174.1587,150.74626,-24.025934,47.1192,-13.529027,17.642176,-2.768896,20.81706,1.5144281,8.545185,-6.382293,-0.2100444,-0.81799453,0.4185305,0.39516655,0.5383413,0.4819876,0.35591263,0.39041337,0.42008498,0.50782174,0.4489148,0.4167334,0.49832854,0.41274953,-0.021327745575584523,0.10008783164122348,0.12610336712431627,-0.06814983209076657,-0.019447761279843226,-0.009304020500441606
Fredi - Elää mä sain - Stayin' Alive (DJ Slow Remix).mp3,229.1112925170068,0.20712258,[105.46875],0.0814606772152901,3738.3530964626007,3866.930978505778,8216.345810504814,20.624829311385366,-104.4726,107.21457,-32.295704,48.031906,-14.679459,36.560844,-8.093481,26.232565,-0.035365667,15.5329685,-3.0900984,12.566746,1.2241203,0.57473356,0.6148341,0.6280969,0.6054645,0.6773154,0.5574547,0.52809066,0.53952944,0.56169176,0.657789,0.56713885,0.6059886,-0.0012796841032941383,-0.01421970487863689,0.015094384667965007,0.06074096791937943,-0.002590292019724029,-0.00865511907357675
Fruko Y Sus Tesos - Mambo del Mercado la Merced.mp3,160.56,0.12771241,[103.359375],0.06564664254564354,2999.9985744664705,3102.0726771820864,6054.778610527386,21.15038143188989,-172.86493,127.69454,-46.589783,43.749172,-7.6500587,24.636518,-9.603637,7.2539735,-1.877775,5.989094,-3.7148616,4.5691056,-1.4213134,0.5315489,0.52570903,0.57049906,0.44020483,0.38504258,0.44168565,0.3936096,0.41148216,0.43889183,0.43414417,0.51652956,0.48754752,0.03435745791287455,-0.05639641382431219,0.05185460248182238,-0.08366673546223698,-0.028224251761264654,-0.027398552698871443
Glass Beams - Mahal.mp3,201.3286394557823,0.13004842,[198.76802885],0.03500578436743167,1724.798002006146,2317.9438874997045,3643.392638491451,21.520025065103088,-208.47588,170.88715,-15.488125,36.691837,-3.7809567,12.991925,1.9362242,3.8938541,5.7798467,-2.1308358,0.43654877,-1.8267416,-1.2478608,0.33587855,0.37270048,0.46540236,0.57774216,0.5405559,0.45918235,0.38095152,0.36878398,0.37644005,0.39053813,0.5117627,0.44623736,-0.08580365494593567,-0.05768360659616186,0.13024110730711722,0.05467393614044888,0.03754136535113576,0.005191710985842127
Glass Beams - Taurus (Mixed).mp3,134.1184580498866,0.1558703,[109.95678191],0.06081140822459535,2414.0184057456227,2576.5289642567527,4738.717495252857,22.402679504281455,-146.73767,155.13666,-53.47199,23.879436,-9.946332,22.498304,-5.7995358,4.6117053,3.3773077,-1.5498537,2.8347247,-1.152394,2.788736,0.43448076,0.47995108,0.49159282,0.60356855,0.4996672,0.5976751,0.5243029,0.45656145,0.4593842,0.45076418,0.5873282,0.41967705,-0.15624623086937436,0.0007537876200937178,0.0015192403904896949,-0.03975956258422467,0.012032047460813614,0.012541218162462276
Grandmaster Flash & The Furious Five - The Message.mp3,432.06666666666666,0.14237534,[101.33272059],0.09747530936374812,4050.3715471628275,3938.284792597067,8263.18212559996,20.933689688087167,-156.08722,94.31965,-26.979185,35.038383,-2.5326462,23.752201,-5.768889,13.4010105,-5.959821,10.126583,-5.1373634,7.8077826,-2.7060459,0.51611763,0.5251162,0.582906,0.5301342,0.53864557,0.5608795,0.50746536,0.5176371,0.4885365,0.5012861,0.4867695,0.48481444,-0.009505049419750836,0.008568762997775769,0.01313342496002293,0.017065850210238993,0.014917259787289645,0.009291800755101925
Grupo Algo Nuevo - Mayajigua (Remasterizado).mp3,270.74142857142857,0.1210586,[120.18531977],0.04796705818503431,2349.5340490889585,2913.666541172058,5038.951436953929,22.564990158977867,-199.12772,149.33855,-16.450426,17.160679,6.244544,17.544233,-0.6295395,16.06791,-2.123671,6.093135,0.4989029,-3.073282,-0.30644417,0.38219774,0.36727867,0.37165976,0.41320574,0.55782044,0.44121185,0.46849677,0.46132457,0.44671223,0.35376325,0.29480127,0.45313707,0.04803955748462089,-0.028226673055441423,0.04657157775035404,0.03164019666601761,0.01605961569859856,-0.0030835117300290187
"Guayacán Orquesta - Oiga, Mire, Vea (Salsa).mp3",323.5733333333333,0.18980579,[90.66611842],0.06780637734450684,3002.708934632136,3062.005835884617,6035.994565714026,22.81280822574528,-127.375015,129.42749,-40.619034,58.439632,-13.134119,14.985321,-9.5355215,7.160635,-2.8388205,-0.06934999,-1.2675934,5.66937,1.6692017,0.4778571,0.6330821,0.38992563,0.33482388,0.34578863,0.31535372,0.370785,0.34775198,0.42067745,0.40828305,0.40067488,0.441515,-0.05176789475762441,-0.0524906615307683,0.020773139166837207,0.030041335480084357,0.030392735092104665,0.002744422945172513
Guillermo Portabales - Cumbiamba.mp3,150.45333333333335,0.15926597,[126.04801829],0.03515289657525658,1810.223400873456,2296.455989815586,3795.275653774645,21.729979778325195,-185.60425,169.5559,-35.45813,41.29682,10.793266,8.933774,4.725041,7.1301966,-1.6167127,-4.451025,-4.932323,-4.3006964,3.7953465,0.45630485,0.47239694,0.5119301,0.4324974,0.40790388,0.41565803,0.48258296,0.5267535,0.47560263,0.48542127,0.46301678,0.42692292,0.05822901179097058,0.06597103743278146,0.00023705187738096815,-0.10423637090594519,0.003064434282733797,-0.020485848401027337
Hannes Beckmann's Sinto - Man on the Banks.mp3,347.1333333333333,0.16998582,[161.49902344],0.050115815739966554,2599.001528597354,3227.4876708738316,5559.042686232755,21.057129330537848,-144.36366,140.17627,-21.92457,46.529423,-1.3411117,13.970327,-10.46043,8.551655,-9.305354,6.1033974,-7.124344,2.6774476,-4.7668567,0.4894022,0.4759438,0.54272616,0.44964936,0.43642065,0.4335915,0.41451272,0.4702638,0.516065,0.5764866,0.427784,0.40910852,0.06543999558650246,0.0923636069594285,-0.008510305233654829,-0.010795128720074317,0.0001324290284151197,0.006690581441396716
Henri Guedon Et Les Contesta - Van Van.mp3,216.14666666666668,0.1918519,[109.95678191],0.05782290659576754,2640.5214400947643,2989.998973458024,5417.476558408697,21.603698439572295,-120.29076,145.43475,-39.85405,50.299587,-10.676819,16.869282,-14.892282,3.7915437,-7.498747,1.6160097,-6.2998276,-6.286368,-1.201962,0.45847768,0.3678343,0.43577445,0.4231928,0.35517007,0.4220096,0.33093,0.3529184,0.35802448,0.4076845,0.4771871,0.43390748,-0.07523805683615226,0.1446944773694786,-0.04872253386582211,-0.019091305702317294,-0.035768715715270925,-0.029940836824293285
Hugo Blanco - Guajira Con Arpa.mp3,187.01995464852607,0.13269924,[139.67483108],0.07420435223516357,3414.122990710602,3403.0559904694587,6948.094551303813,22.268500053769923,-144.41734,112.65581,-45.865673,55.279606,-12.742917,29.115673,-5.769749,16.427105,-0.723911,12.040105,1.2158515,9.4474325,5.758594,0.4165554,0.49246237,0.45653337,0.50354946,0.52648455,0.5444121,0.63140726,0.5228246,0.5109011,0.48095468,0.48725224,0.4745821,0.0631414929093146,-0.16706953302522606,0.013027050808114605,-0.05665815872931065,0.010688828469722848,0.012159424882430256
Héctor Lavoe - Periódico De Ayer.mp3,411.6533333333333,0.17869297,[99.38401442],0.06346292912894493,2653.0511942446187,2754.07763716728,5647.044107508303,21.972529034932748,-126.71171,148.59239,-51.116688,61.157703,-11.112808,14.471012,-0.81474745,0.49520084,10.168975,0.8852178,-0.06325914,2.7806485,-2.4169245,0.5132185,0.40221223,0.46154463,0.5799981,0.48221797,0.42567542,0.40180466,0.5154777,0.43414682,0.4102394,0.46105862,0.466638,-0.04507826768321754,0.1316363127393846,0.09611228213195287,0.08444984734488252,0.006883192509417872,0.013348630046648128
iLe - Ñe Ñe Ñé.mp3,187.43070294784582,0.24073279,[120.18531977],0.042834611784951064,2570.193024027295,3360.5275125768158,5867.278995268172,21.529400265642714,-152.29642,136.96268,9.251115,34.32633,-3.39686,25.636204,-6.2013693,20.064442,0.2885435,7.7998977,2.394744,4.849322,-0.47997758,0.58036315,0.652672,0.67997915,0.5487946,0.48383382,0.47585675,0.5032007,0.49045673,0.44303662,0.47971195,0.48747772,0.50789964,0.06320564899546519,0.055511534737262475,-0.04476403448211454,-0.08862410145186395,-0.0058445714767299635,-0.00031460654695459814
Ini Kamoze - World A Music.mp3,345.49333333333334,0.13083161,[73.828125],0.07675906277827715,3453.5195441838223,3673.9474142005715,7065.135189538249,21.927279080936117,-202.62392,100.94821,-23.480078,27.97804,19.120598,28.476881,-7.6821914,18.413443,-0.47120538,5.0846367,3.584131,8.857472,-0.8987147,0.5179115,0.5009927,0.60224265,0.4619965,0.46923703,0.50340205,0.49524027,0.5360868,0.4938188,0.59030783,0.53560466,0.48290914,0.04757260415387126,0.02019861566944932,-0.05195935860908956,-0.0854237953505066,0.023743064904826118,-0.0010550149969953634
Jamie xx - I Know There's Gonna Be (Good Times) (feat. Young Thug & Popcaan).mp3,213.62235827664398,0.18347716,[89.10290948],0.04697278893512228,2283.3164217625736,2711.9981700873004,4756.990014117697,21.704668629962914,-173.30878,144.88396,-26.506353,31.034681,-10.9612665,9.121268,-0.020648101,0.5614125,-2.5796213,-3.5545335,-5.6028056,0.82028145,6.9115634,0.41826576,0.4837616,0.5314671,0.4525209,0.46500823,0.44164148,0.51688266,0.3849532,0.3554893,0.40263572,0.4013693,0.450434,0.06424943920279584,-0.08708168162098073,0.032242135143783136,-0.09642164000478301,-0.009487585604727069,0.015269926076937779
Joe Bataan - Subway Joe.mp3,182.04,0.16876552,[132.51201923],0.06076439059510523,2762.1939671776636,3045.893817775813,5500.0360107421875,21.517044416351737,-124.89832,145.09956,-50.947872,37.989887,-9.213102,19.966494,-5.675782,16.544409,-4.9790974,8.76592,-2.3140094,6.224284,1.2851939,0.43076646,0.47586325,0.51152414,0.5274575,0.6049857,0.51987714,0.533334,0.41693002,0.41985905,0.39580026,0.37308306,0.49305445,0.03557639103730602,-0.038674277940999036,0.1004808227100994,-0.09800200523150497,-0.027328616713283425,-0.0260025473304119
Joe Cuba Sextette - Bang! Bang!.mp3,246.642358276644,0.18021451,[129.19921875],0.08221936871175571,2549.786690273903,2310.4612337126446,4468.059069964992,20.740768548837423,-133.17767,158.1501,-75.23364,23.72218,-7.017007,3.0176044,-11.143626,-0.4730512,-6.5604067,-6.1564226,-5.236756,-0.9839341,0.99820673,0.32783115,0.31017718,0.37743962,0.41641435,0.41851833,0.43930066,0.3974133,0.4051629,0.37756062,0.4558018,0.5312688,0.39179182,-0.04296099795550944,0.050282266420118064,0.013524459884452673,-0.008813419974735432,0.00990530559651742,0.003608637335180899
Joni Haastrup - Greetings.mp3,373.3333333333333,0.23973186,[117.45383523],0.07312661986017818,2916.075201637832,2967.3683233466727,5952.545540118598,22.105371198028276,-111.2447,133.51326,-49.46259,53.44835,-14.1637535,31.251213,7.299027,9.205462,5.78591,4.8645496,2.7003546,7.150118,1.4310045,0.42428562,0.41379252,0.4374142,0.4225823,0.55950576,0.4715796,0.4893495,0.4911043,0.4490086,0.49674463,0.49329013,0.54978496,0.11710285335870488,-0.07784008774925727,-0.014512759184125949,0.04932667879267414,0.0005731777672505522,-0.019328314337289498
José José - Tu Melodía (Cover Audio).mp3,239.38133786848073,0.178784,[87.59269068],0.05398668059496096,2675.2036710978523,3223.994257055811,5878.397359061272,23.36305143857651,-155.42316,138.03352,-26.03421,45.44026,-4.7438664,32.763794,-19.894302,16.9881,-6.1445804,-11.548583,1.3696686,-5.0747027,-4.0369782,0.40484765,0.37325394,0.31096315,0.32157186,0.28049567,0.28812498,0.25745732,0.35318834,0.41504523,0.41787896,0.48906562,0.43108645,-0.16738498702093862,0.04017825565404449,0.0276783834915429,-0.010525106889768885,0.035591054108447366,-0.010168769810135946
Juan Gabriel - En Esta Primavera.mp3,199.70718820861677,0.115481935,[129.19921875],0.08436530363475177,3831.0602687793416,4016.2459267149998,7986.856812502725,22.681743627201595,-151.00697,105.93065,-21.91897,57.261757,-5.771414,24.620098,-9.025318,13.031735,-14.5254345,7.7713327,-13.004628,9.908621,-6.076536,0.3706547,0.30138862,0.37076336,0.35026205,0.4201476,0.3572515,0.3561967,0.49154776,0.4887144,0.47138548,0.3719515,0.4171393,0.1620502065154189,0.013643737350588391,0.029510120892552397,0.10329470367186787,0.02036678917776895,-0.004361223140298052
Kali Uchis - Know What I Want.mp3,251.11111111111111,0.21551898,[161.49902344],0.05969632784687225,2827.8952987862276,3217.748655033922,6022.493143428672,23.150132537456642,-147.92162,129.98753,-17.927565,28.490013,-19.38277,21.074554,-14.858313,14.854619,-0.32019037,-5.389776,0.905737,3.675274,-5.5761447,0.36886427,0.5150493,0.44161156,0.4474891,0.35127348,0.31713402,0.337085,0.306709,0.3740621,0.35249534,0.40720817,0.35657933,-0.06528104570999697,-0.03725045750687845,0.047484345884771996,-0.05731222637133681,0.038859942682058245,0.0008042606190576503
La BOA & Nelda Piña - Boa.mp3,472.2010204081633,0.17183167,[117.45383523],0.05443413349688368,2308.1131223823627,2782.5484331361517,4483.740936670211,21.271430121237813,-138.02464,155.18019,-34.446266,31.042427,5.2918158,9.128976,-2.0838883,6.486071,-2.4956088,3.9623454,2.36492,5.471858,1.1788375,0.38226864,0.3535786,0.42959183,0.36693987,0.53869,0.4436355,0.4611975,0.523926,0.43192875,0.45085767,0.42746118,0.49510905,0.10178757323161933,-0.035659366924652644,0.06425181089302823,-0.04800484437467581,0.013087298637017106,-0.014887436168052097
LA ISLA BONITA ((BOMBA ECUATORIANA)) LIMPIA.mp3,386.7980045351474,0.1857074,[103.359375],0.085426238739795,3568.8054918801117,3446.14555860287,7635.179269580376,22.257696186407184,-117.83026,122.65581,-41.104523,73.91827,-22.959087,44.133896,-5.900691,19.190893,7.2744393,2.8907697,14.383687,-4.7559505,10.854499,0.4991818,0.5221546,0.5135418,0.58966213,0.6478739,0.5979205,0.5972102,0.57354283,0.5783647,0.50661796,0.5077673,0.5222921,0.023136404482801697,-0.12536012335784977,-0.062428233305762686,0.09236044002627603,0.020438061237373562,-0.009882021008955875
