Id,Servicio wifi a bordo,Hora de salida/llegada conveniente,Facilidad de reserva en línea,Ubicación de la puerta,Alimentos y bebidas,Embarque en línea,Comodidad del asiento,Entretenimiento a bordo,Servicio a bordo,Servicio de sala de piernas,Manejo de equipaje,Servicio de facturación,Limpieza
70811,2,3,2,4,5,2,5,5,4,3,3,1,5
75241,4,5,4,4,5,4,5,5,5,4,4,4,5
12312,5,2,2,2,3,4,2,5,5,5,5,2,4
48372,3,4,3,1,1,3,1,1,3,3,5,4,1
51477,3,3,3,3,2,4,5,4,4,4,4,4,5
84204,1,1,1,1,3,5,4,5,5,5,5,3,5
70990,4,4,4,2,2,4,4,2,4,2,4,3,2
101991,1,4,1,3,5,1,5,5,3,2,5,5,5
87447,3,3,3,5,4,3,4,4,3,2,5,5,4
16112,4,4,4,2,2,4,2,2,4,2,3,1,2
16172,3,3,3,3,3,3,3,1,5,4,3,3,3
106558,1,1,1,1,4,4,4,4,5,3,5,5,4
11536,2,3,3,3,2,2,2,2,1,1,3,4,2
47773,5,1,1,1,4,2,1,5,5,5,5,5,2
70521,2,2,3,2,3,5,4,5,5,5,5,5,3
96283,2,5,2,5,3,3,4,5,5,2,4,1,2
117993,4,4,3,4,2,5,4,5,5,5,5,5,3
74703,2,4,2,3,4,4,3,4,4,2,4,2,2
110840,3,5,2,3,3,4,5,1,1,2,1,5,3
88249,4,0,4,2,2,4,2,2,5,3,5,3,2
125877,4,2,2,2,3,3,4,4,4,4,4,3,3
83968,2,3,4,3,2,2,2,2,2,5,3,3,2
122719,3,3,4,3,5,5,5,5,4,5,4,3,5
3949,3,3,3,2,2,3,2,2,2,1,3,3,2
45542,3,3,3,3,5,5,5,5,4,3,1,1,5
43742,3,4,3,1,2,4,5,3,3,3,3,3,5
122093,3,0,3,3,4,3,5,4,2,2,4,5,4
121454,2,0,2,1,1,2,1,1,4,3,4,1,1
738,3,3,3,3,5,4,5,4,4,5,4,4,5
75235,1,4,1,1,2,5,5,5,5,1,5,4,3
88653,3,2,3,4,4,3,4,5,5,3,5,4,3
26594,4,1,1,1,4,4,4,4,3,1,3,2,4
38339,5,5,5,5,3,4,3,3,5,3,3,1,3
46063,1,5,1,2,4,4,5,4,4,1,4,5,4
27957,2,2,2,2,2,2,2,2,4,3,2,2,2
17270,2,3,2,2,4,2,3,5,5,2,5,3,3
87976,5,5,5,5,5,4,4,5,5,5,5,4,3
31640,2,2,2,2,2,3,5,4,4,4,4,5,5
41461,3,4,3,5,3,3,5,1,1,3,1,4,4
15143,3,2,2,2,2,4,3,3,3,3,3,3,2
78136,3,5,3,5,2,4,5,2,2,3,2,4,5
120433,3,3,2,3,2,5,4,4,4,4,4,3,4
41440,1,2,2,2,4,2,3,4,3,2,1,1,4
15963,2,5,2,3,2,5,4,5,5,2,5,3,3
64303,2,3,3,2,5,3,5,5,4,5,5,4,5
3608,2,4,2,4,4,5,5,5,5,2,5,5,4
7744,2,2,2,2,2,2,2,2,4,3,3,1,2
21276,1,1,1,4,1,1,1,1,1,5,3,1,1
58576,2,2,3,2,1,1,5,3,3,4,3,4,4
53888,2,4,2,4,4,4,5,2,2,2,2,3,5
10980,3,3,3,3,5,5,5,5,4,4,4,5,5
54151,3,5,5,5,4,3,2,3,3,3,3,1,4
115641,2,2,1,4,1,1,1,1,4,4,3,4,1
58584,2,1,2,4,5,2,5,5,2,4,3,2,5
50472,1,2,1,3,1,1,1,1,1,4,3,4,1
102623,1,1,5,1,2,4,4,5,5,5,5,4,5
31533,1,4,1,3,3,1,3,3,5,4,5,4,3
42287,1,0,0,3,1,3,3,4,4,1,4,4,1
70467,3,3,3,3,3,4,4,5,5,5,5,3,4
20461,3,5,3,1,5,3,5,5,5,5,3,5,5
113346,3,3,3,3,3,5,4,4,4,4,4,4,3
115566,2,1,4,4,5,3,3,2,2,2,2,4,1
119896,1,1,1,1,2,4,4,4,4,4,4,5,4
88853,3,4,3,1,2,5,4,2,2,3,2,3,4
24895,2,5,2,2,5,2,5,5,5,4,4,5,5
31122,3,3,3,3,1,4,3,4,4,4,4,3,3
91231,2,2,2,3,4,2,4,4,1,3,4,1,4
61426,2,2,2,3,4,2,4,4,3,2,3,3,4
68873,2,2,2,1,4,2,4,4,1,4,2,4,4
125701,2,5,2,2,2,2,2,2,5,2,4,5,2
94999,4,4,4,4,5,4,5,5,2,2,4,4,5
56694,3,5,3,2,5,5,5,5,5,3,5,3,4
62010,5,5,5,5,2,5,4,2,2,2,2,3,5
95868,5,5,3,5,5,4,5,3,3,3,3,4,5
123064,4,4,4,4,4,5,4,4,4,4,4,3,5
103418,3,4,3,4,2,3,2,2,3,3,4,4,2
73456,3,5,3,3,2,3,2,2,4,4,4,5,2
8851,5,5,4,5,4,4,4,4,5,2,5,5,4
64241,4,1,1,1,4,4,4,4,2,5,2,4,4
81723,2,2,2,4,3,2,3,3,1,4,3,1,3
88237,5,5,5,5,4,5,4,4,4,4,4,5,5
50619,3,4,0,1,1,0,1,1,1,5,5,2,1
54444,3,4,3,3,1,3,1,1,3,3,4,4,1
64765,2,1,2,3,1,2,1,1,4,1,3,1,1
15941,3,4,3,4,2,3,2,2,3,4,3,1,2
14965,1,1,1,1,5,5,5,5,4,5,2,2,5
36897,3,4,2,4,3,2,3,3,4,2,3,3,3
127954,4,5,4,4,5,5,5,5,4,4,4,3,5
27872,0,5,0,2,1,0,1,1,3,1,4,5,1
35854,2,2,2,2,1,5,3,5,5,5,5,4,3
14527,5,1,1,1,1,2,3,5,5,5,5,1,3
47021,2,1,2,3,4,3,3,3,3,2,3,2,1
11224,3,5,3,3,2,3,5,2,5,2,1,3,2
3921,3,5,3,4,3,3,1,3,1,5,1,3,3
69463,2,2,2,4,2,2,3,2,3,1,3,2,2
47050,3,1,1,1,3,3,3,3,1,2,4,2,3
21970,2,2,2,2,5,3,1,4,4,4,4,1,5
30046,2,2,2,2,2,5,2,4,4,4,4,1,5
1256,3,4,3,1,5,3,3,5,3,4,5,5,5
73813,2,4,2,3,5,2,5,5,5,4,5,5,5
110928,3,3,3,4,4,4,4,5,5,3,5,1,2
102981,4,4,4,4,2,4,2,2,3,5,5,3,2
61571,4,3,4,4,2,4,5,5,5,5,5,3,3
3796,2,2,2,3,4,2,4,4,3,3,3,1,4
73906,3,3,3,4,2,3,2,2,4,3,5,3,2
74090,5,5,5,5,3,5,5,4,4,4,4,4,5
76645,2,4,2,3,5,2,5,5,5,4,5,5,5
100462,3,3,3,2,2,3,2,2,4,2,5,4,2
54164,2,1,1,1,2,1,2,2,4,3,3,3,2
6147,3,3,3,3,4,4,4,4,4,4,4,3,5
1262,3,3,3,3,5,3,3,4,4,3,4,1,4
20310,5,5,5,3,1,5,1,1,4,3,5,5,1
46896,2,2,2,2,3,3,3,3,2,4,3,5,3
7237,3,1,5,1,1,3,1,2,4,3,4,1,1
44293,4,4,4,4,3,5,5,4,4,4,4,5,5
52496,1,1,1,1,2,5,4,4,4,4,5,4,5
68263,3,5,2,5,3,3,4,5,5,2,5,1,1
5289,4,3,4,4,1,4,1,1,1,5,4,2,1
109359,5,5,3,5,5,4,5,2,2,2,2,4,3
94988,5,5,5,5,3,5,3,3,4,4,5,1,3
53605,4,3,3,3,4,4,3,4,3,1,4,5,4
11005,4,0,4,1,2,4,2,2,1,5,2,2,2
14794,5,3,3,3,1,2,1,5,5,5,5,1,2
49480,1,1,1,1,4,3,4,4,4,4,4,2,1
120440,1,4,1,2,3,1,4,3,1,3,5,4,3
55823,3,4,4,2,2,3,2,2,4,2,5,5,2
107792,2,2,2,2,5,5,4,4,4,4,4,5,5
80531,1,1,2,1,3,4,4,2,2,2,2,4,5
128145,5,5,2,5,4,3,5,5,5,5,5,5,3
63370,4,1,4,3,3,3,3,3,3,4,1,2,2
12452,3,3,3,1,4,3,4,4,5,5,2,4,4
16145,5,3,3,3,5,3,5,5,5,5,5,5,2
44418,1,1,1,3,3,1,3,3,2,1,4,1,3
95746,2,2,2,2,3,5,3,5,5,5,5,3,4
41134,4,4,4,4,5,4,5,5,2,1,3,2,5
3214,3,1,3,1,5,1,2,1,1,3,1,1,4
74101,5,5,5,3,2,5,2,2,5,5,4,3,2
106220,4,5,4,4,3,4,3,3,4,3,4,5,3
88134,2,2,1,2,4,4,4,5,5,4,5,3,3
64475,4,5,4,1,4,4,4,4,3,3,5,3,4
123812,3,5,3,1,2,3,2,2,4,2,5,4,2
88893,3,3,3,3,3,5,5,4,4,4,4,3,3
31244,1,1,1,1,3,1,5,5,5,5,5,5,5
97762,3,4,3,5,1,3,1,1,5,3,5,4,1
59851,3,3,3,3,4,5,4,4,4,4,4,4,5
25137,3,4,3,3,5,3,5,5,5,2,3,4,5
18412,3,5,3,1,3,3,3,3,4,5,5,3,3
87192,2,2,2,2,3,2,3,3,1,5,3,4,3
127062,3,4,4,4,3,4,4,3,3,3,3,4,3
112169,4,5,4,1,1,4,1,1,2,1,3,3,1
127798,3,2,5,2,4,4,4,3,3,3,3,3,1
91778,2,1,1,2,1,1,1,1,1,4,3,2,1
42609,5,5,5,5,2,2,2,2,5,1,2,1,2
67482,3,4,3,2,2,3,2,2,4,5,4,5,2
91108,4,4,4,2,4,4,4,1,1,4,1,4,5
102318,2,2,2,4,2,2,2,2,4,4,4,3,2
51281,0,0,0,5,2,0,2,2,4,1,3,4,2
6528,3,1,3,2,1,1,2,3,3,3,3,2,1
121232,5,5,5,5,2,5,5,5,5,5,5,3,3
72478,5,5,4,5,5,4,5,5,5,5,5,4,3
122788,1,4,4,4,1,1,1,1,2,3,3,3,1
5528,1,1,1,1,5,5,4,4,4,4,4,3,4
107726,1,5,0,5,3,2,3,1,1,0,3,5,3
72606,1,5,1,3,2,1,2,2,3,4,4,5,2
75522,4,0,4,3,4,4,4,4,3,5,4,4,4
125687,2,2,2,2,2,2,1,2,2,2,2,3,4
79908,2,2,2,2,3,4,5,3,3,3,3,3,3
117345,0,0,0,3,2,0,2,2,4,4,4,5,2
73465,1,4,2,3,2,1,5,5,2,4,5,5,5
95851,3,3,3,3,3,5,4,4,4,4,4,3,5
44992,1,3,3,3,1,1,1,1,1,2,3,4,1
70631,0,4,0,1,5,5,5,4,4,0,4,4,4
13761,4,5,5,5,3,3,2,4,4,4,4,3,5
74968,3,5,3,4,4,3,4,4,5,2,4,5,4
12371,2,1,1,1,2,3,3,2,2,2,2,3,1
8378,5,5,5,5,5,5,5,5,1,3,3,1,5
82080,2,2,2,2,4,2,3,2,2,2,2,1,1
107972,4,4,4,3,5,4,5,5,5,3,4,3,5
101228,5,5,5,5,4,4,4,2,2,2,2,4,3
85577,1,1,1,1,2,4,4,4,4,4,4,5,4
2717,5,3,5,3,4,5,4,4,1,1,3,4,4
88529,5,1,5,3,3,5,3,3,4,2,4,4,3
91613,4,2,2,2,5,4,4,4,4,4,4,3,1
88865,4,4,4,4,4,4,4,4,1,2,3,4,4
96960,5,5,5,5,5,4,5,3,3,3,3,3,3
51191,4,2,2,2,5,3,4,4,4,4,4,5,2
9461,4,4,5,3,2,4,5,3,3,5,3,5,4
66384,3,3,3,5,2,3,2,2,5,2,5,3,2
41934,1,0,1,2,1,1,1,1,3,2,5,4,1
25381,2,4,2,3,5,2,3,5,4,4,4,3,5
14757,2,2,4,2,3,4,2,4,4,4,4,1,2
94013,1,1,1,1,2,5,5,4,4,4,4,5,5
80107,2,1,1,3,1,2,1,1,1,5,1,1,1
23590,1,1,1,3,5,1,5,5,1,4,4,1,5
110384,3,4,4,4,3,2,2,3,3,3,3,1,1
15069,4,2,2,2,3,1,3,4,4,4,4,5,2
17128,3,3,3,3,1,3,1,1,2,2,3,3,1
54060,5,2,2,2,5,5,5,5,4,3,5,2,5
129240,3,2,2,2,5,4,4,3,3,3,3,3,3
97165,4,4,4,3,1,4,1,1,5,4,4,4,1
111696,2,2,3,2,4,4,4,4,5,2,5,3,4
1887,3,3,3,3,3,3,3,3,4,4,4,4,3
89086,2,3,3,3,4,2,4,4,4,3,3,3,4
35485,4,4,4,1,3,4,3,3,3,2,5,3,3
35719,1,1,1,3,1,3,5,2,3,3,2,5,5
85669,3,1,3,3,3,3,3,3,4,3,4,3,3
1137,4,4,4,2,2,4,2,2,2,5,1,4,2
8358,1,1,1,1,4,4,5,4,4,4,4,4,3
17217,4,4,4,4,3,4,4,5,5,5,5,5,3
44847,3,5,3,1,5,3,5,5,3,5,5,4,5
96673,1,5,1,2,5,1,5,5,5,5,5,5,5
80152,1,3,3,3,1,1,1,3,5,2,3,1,1
82277,1,1,1,4,2,1,2,2,1,5,3,3,2
123927,2,4,2,3,3,2,3,3,4,1,3,2,3
115766,1,3,3,3,1,1,1,1,3,3,3,3,1
21134,4,5,0,1,2,0,2,2,3,4,4,5,2
112062,3,3,3,3,4,3,5,4,1,4,3,4,4
28643,2,3,2,2,3,5,2,5,5,5,5,4,4
108010,0,0,0,1,1,0,1,1,5,4,4,4,1
92145,3,2,3,3,3,5,4,4,4,4,4,3,5
115846,5,5,5,5,5,5,5,5,1,5,3,1,5
99685,2,2,2,2,5,4,4,4,4,4,4,4,5
112072,3,3,3,3,2,4,4,3,3,2,3,4,3
119226,3,4,3,4,3,3,3,3,5,4,2,2,3
115925,2,2,2,1,1,2,1,1,4,4,2,1,1
106552,1,5,1,3,4,1,4,4,4,1,1,5,4
25126,3,5,3,2,4,4,4,3,3,3,3,4,5
33426,2,2,2,2,5,4,4,2,4,4,2,4,4
125844,2,3,3,3,2,2,4,2,3,5,3,1,2
70328,3,3,3,3,4,4,4,5,5,5,5,4,3
88847,2,5,2,2,4,1,1,2,2,2,4,4,3
108398,1,5,1,3,5,1,5,5,3,2,5,4,5
97316,3,3,3,3,4,4,5,5,5,5,5,4,3
124811,2,2,2,2,2,2,2,2,2,3,2,2,2
23012,5,1,1,1,5,5,5,5,3,4,3,5,5
18088,3,5,3,1,3,4,5,5,5,3,5,5,3
37982,3,4,3,1,4,3,4,5,5,3,5,5,5
31332,1,1,1,2,3,1,3,3,4,1,4,5,3
97455,2,2,2,2,2,5,4,3,3,3,3,4,4
28901,1,1,1,1,2,5,4,4,4,4,4,2,1
107606,4,4,4,3,4,4,4,4,3,2,4,5,4
53258,4,4,4,4,5,5,5,3,3,4,4,5,5
14292,3,3,3,3,3,2,3,5,5,5,5,4,4
68232,5,5,5,5,3,5,5,4,4,4,4,3,3
51224,4,4,4,4,3,4,3,3,4,4,1,1,3
121386,2,5,2,3,2,4,2,5,3,4,5,2,2
31668,2,2,2,2,2,2,2,2,3,5,2,3,2
24628,3,3,3,2,3,1,1,4,2,1,5,1,1
95876,2,2,2,2,5,4,5,5,3,5,4,4,5
62793,2,4,2,3,2,1,1,3,2,4,5,1,1
83516,1,3,1,5,2,1,2,2,1,3,2,2,2
13221,4,3,3,3,4,4,4,4,2,1,4,4,4
100404,3,2,2,5,4,3,4,4,4,3,4,4,4
121453,2,0,2,4,5,2,1,5,1,5,1,4,5
21454,2,3,3,3,2,2,2,2,3,3,3,1,2
15937,4,3,2,3,4,4,4,4,5,5,4,4,4
70105,4,4,4,4,3,5,5,5,5,5,5,4,5
47540,5,4,5,2,5,5,5,5,4,4,4,4,5
57561,2,2,2,2,3,4,4,2,2,2,2,5,4
124103,3,5,4,5,5,4,4,3,3,3,3,2,4
125736,5,5,5,5,5,5,5,5,3,2,1,2,5
93362,3,1,3,3,4,3,4,4,1,1,4,3,4
95429,0,5,0,4,4,5,4,3,3,3,3,5,5
106943,2,2,4,2,4,4,4,5,5,5,5,3,5
100691,2,5,2,3,3,2,3,3,3,3,4,3,3
119948,2,2,2,4,3,2,3,3,3,5,4,5,3
15778,4,5,5,5,4,4,4,4,3,4,4,4,4
68342,3,3,3,3,4,3,4,5,5,5,5,3,5
24665,1,0,1,3,4,1,4,4,3,4,4,3,4
81029,4,4,2,4,4,4,5,5,5,5,5,3,5
70371,3,5,3,1,4,3,4,4,5,2,4,5,4
1386,0,4,0,5,4,0,3,4,4,4,4,3,4
35225,5,1,1,1,5,5,5,5,3,1,2,2,5
86204,4,4,4,4,5,5,5,4,4,4,4,4,4
126370,3,5,4,2,4,4,4,4,5,5,4,3,4
116184,4,3,4,4,5,4,5,5,2,5,4,3,5
89613,5,5,5,5,3,5,4,5,5,5,5,3,3
99020,4,4,4,4,2,5,4,3,3,4,3,4,3
18463,3,3,3,3,4,4,3,4,2,3,2,1,4
96637,2,2,2,3,4,2,4,4,5,4,5,3,4
114678,1,1,1,1,4,5,4,5,5,4,5,4,5
97639,1,1,1,1,5,4,5,4,4,4,4,4,3
75061,4,5,4,4,4,3,5,4,4,4,4,3,4
51744,4,5,4,4,2,4,4,2,2,4,2,3,5
44413,3,4,3,2,4,4,4,4,4,3,4,3,5
2389,5,5,5,5,4,4,4,5,5,5,5,4,5
105062,2,4,3,2,3,3,3,3,5,5,4,4,3
91464,3,5,3,5,1,1,1,3,3,3,3,4,3
55721,1,4,1,3,2,1,5,2,3,5,4,4,2
65726,4,4,4,4,5,4,5,5,5,5,5,3,3
8473,1,1,1,1,3,5,4,3,3,3,3,4,3
13488,5,2,2,2,4,1,2,5,5,5,5,4,3
58611,2,2,2,2,3,5,4,4,4,4,4,3,3
39607,2,5,2,1,2,2,2,2,4,4,4,4,2
41704,3,4,3,1,4,4,5,5,5,3,5,4,4
126579,2,4,2,2,1,2,1,1,3,2,3,4,1
44232,4,1,1,1,2,5,5,3,3,4,3,4,3
44021,4,4,4,1,3,4,4,1,1,4,2,4,3
67502,3,4,3,1,4,3,1,4,2,1,1,2,4
19525,0,5,0,3,4,4,4,2,2,2,2,4,3
110015,2,1,1,1,2,2,2,2,2,3,2,2,3
30960,4,4,4,2,4,4,4,4,3,2,5,5,4
2153,2,4,2,1,5,4,5,3,3,2,3,5,4
115097,4,0,4,4,4,4,5,4,4,3,5,4,4
63204,4,4,4,4,2,5,4,5,5,5,5,4,4
113849,2,2,2,2,2,2,2,3,5,4,4,2,2
95508,1,2,2,2,4,3,3,1,1,1,1,4,2
112350,4,4,4,4,4,5,5,2,2,2,2,5,5
20650,4,4,4,4,4,4,4,4,3,3,2,2,4
65517,4,4,4,4,5,5,5,4,4,5,4,3,5
116988,3,4,5,5,3,3,3,3,1,5,4,4,3
116210,4,4,4,4,5,4,5,3,3,4,5,5,5
15218,2,2,2,2,4,5,2,4,4,4,4,1,3
35387,2,2,2,2,5,5,5,1,1,2,3,5,5
20002,4,5,5,5,4,4,4,4,3,4,5,5,4
102927,3,4,3,3,3,3,3,3,4,1,3,4,3
92462,3,3,3,3,2,3,2,2,3,4,4,4,2
70950,3,4,2,3,1,2,1,1,2,5,3,5,1
76034,3,3,3,3,5,4,5,4,4,4,4,5,5
97177,3,3,2,3,5,2,5,5,2,5,4,4,5
51719,2,4,2,4,2,2,2,2,3,5,5,4,2
129201,2,2,2,2,4,4,4,4,3,3,3,5,4
35558,1,5,0,4,2,5,4,1,1,0,1,4,3
109398,1,1,1,1,3,5,5,5,5,5,5,4,3
65351,2,2,2,2,5,5,5,5,5,3,5,4,5
102482,2,3,2,4,4,4,3,3,3,2,2,3,1
17932,1,4,1,3,1,1,1,1,4,3,5,5,1
122276,3,4,3,4,4,5,4,5,5,3,3,5,5
57484,2,2,2,4,1,2,1,1,3,4,4,4,1
121069,1,1,1,1,5,4,5,3,3,3,3,5,3
41414,2,4,2,2,2,2,2,2,5,3,5,5,2
49839,3,3,3,3,3,3,3,3,3,2,3,3,3
48189,2,1,1,1,2,2,2,2,1,2,3,1,2
82445,4,4,4,3,5,4,5,5,4,3,5,3,5
108108,4,4,4,4,4,4,5,4,4,4,4,3,3
63984,1,1,1,4,1,1,1,1,1,4,4,4,1
105287,5,5,5,5,3,5,4,5,5,5,5,5,3
9385,3,2,5,3,5,5,5,5,3,2,3,4,5
25265,5,4,4,4,5,5,5,5,4,3,1,5,5
119844,3,5,5,5,3,3,3,3,1,1,3,3,3
33840,2,4,1,4,2,2,3,2,2,2,2,2,1
81815,1,1,1,4,1,1,1,1,2,5,4,2,1
83524,4,2,3,2,1,3,1,1,4,1,3,3,1
78999,2,2,2,2,5,4,4,5,5,5,5,5,3
46712,2,4,0,4,2,0,3,2,2,2,4,1,2
41188,2,1,2,3,3,2,3,3,1,4,3,3,3
5326,5,5,3,5,3,5,5,5,5,5,5,5,4
80176,2,2,2,3,2,4,4,2,4,4,1,4,4
46900,3,3,3,3,2,2,2,2,1,1,3,4,2
89219,1,1,1,2,1,1,2,1,2,4,2,2,1
17928,2,4,4,4,2,1,2,2,1,4,4,3,2
55425,3,3,5,3,4,4,4,4,4,4,4,4,4
88130,4,4,4,3,1,4,1,1,5,2,5,4,1
48354,4,5,5,5,3,2,1,4,4,4,4,2,2
105905,3,4,4,4,3,3,3,3,2,2,4,2,3
60943,5,5,3,5,4,4,4,4,4,4,5,3,4
101584,1,1,1,2,3,1,5,3,1,4,2,1,3
71388,5,5,5,5,2,4,4,5,5,5,5,5,5
77866,1,1,3,1,3,5,5,4,4,4,4,5,4
49223,5,1,1,1,4,5,1,5,5,5,5,3,2
106530,3,0,3,5,5,3,5,5,4,3,5,5,5
28676,5,5,5,5,5,5,5,5,4,1,3,3,5
39553,2,2,2,2,5,5,5,5,3,2,3,4,5
109597,4,4,4,4,3,4,3,3,4,3,4,4,3
62291,3,3,3,1,1,3,1,1,5,4,5,4,1
40177,3,3,3,3,5,5,5,5,1,1,4,2,5
33413,4,3,3,3,4,4,4,4,1,2,4,3,4
127599,3,3,3,4,4,3,4,4,3,5,4,3,4
66723,1,3,1,3,4,1,4,4,1,2,3,2,4
73698,3,2,2,2,3,3,3,3,4,5,3,4,3
27641,2,5,3,2,1,3,1,1,1,4,4,4,1
83891,1,0,0,4,2,4,3,4,4,0,4,3,2
51662,3,2,2,4,4,2,3,4,3,3,3,1,4
19833,3,1,3,4,1,3,1,1,1,3,4,3,1
63416,4,5,4,4,5,4,5,5,4,5,4,3,5
7645,2,2,2,3,1,2,1,1,3,2,5,4,1
86002,2,3,1,3,2,2,2,2,1,4,3,2,2
64457,1,4,1,1,5,1,5,5,3,2,4,4,5
109551,1,2,1,3,3,1,3,3,2,4,4,2,3
86553,1,1,1,4,4,1,4,4,3,2,4,3,4
17491,3,5,5,5,3,3,1,3,4,3,4,2,3
114667,3,3,3,3,5,5,5,3,3,4,3,3,5
59149,2,2,2,2,5,4,4,4,4,4,4,4,5
74892,1,1,1,1,5,4,4,5,5,5,5,5,3
15197,3,3,3,4,3,5,4,4,5,4,4,4,4
6867,3,5,3,2,3,3,3,3,4,2,5,5,3
111943,3,5,3,4,2,3,3,2,5,4,5,5,2
46720,3,5,3,2,3,3,2,3,3,5,2,1,3
67966,3,2,2,2,3,3,3,3,4,3,4,4,3
33341,2,2,2,2,3,4,3,5,5,5,5,1,3
50319,5,1,1,1,5,5,5,5,2,2,2,1,5
82927,2,2,2,2,3,5,4,3,3,4,3,3,3
14562,2,2,2,5,1,2,1,1,5,5,5,5,1
108335,1,5,5,5,1,1,1,4,2,2,4,1,1
97959,4,4,4,5,3,4,4,3,3,4,5,4,3
1026,5,5,5,5,5,5,5,5,2,3,5,3,5
26910,2,3,1,1,2,2,2,2,2,2,4,4,2
14054,5,5,5,3,4,5,5,4,5,4,4,3,4
109458,3,3,3,3,5,4,5,5,5,5,5,4,5
51772,3,4,3,4,3,3,3,3,1,5,4,2,3
15019,3,4,3,3,3,3,3,3,5,3,4,4,3
23664,2,4,2,4,5,2,5,5,5,4,5,5,5
6731,3,3,3,3,5,5,5,4,4,4,4,4,3
57753,4,4,4,4,5,5,5,3,4,3,4,5,5
29788,0,4,1,2,4,1,3,5,5,5,5,3,2
28336,1,2,1,1,4,4,4,4,1,5,2,1,4
2878,3,5,3,3,2,4,5,5,5,3,1,3,3
81675,2,3,3,3,4,4,3,2,2,2,2,1,3
50905,1,5,1,1,5,1,5,5,3,1,1,3,5
90850,1,1,1,1,3,4,3,2,2,2,1,3,4
29340,0,0,0,3,3,0,2,3,3,3,4,5,3
68731,1,1,1,2,4,1,5,4,1,4,3,4,4
115978,1,4,4,3,5,4,5,5,4,5,5,3,5
29829,2,2,2,2,5,5,5,5,3,3,5,2,5
82401,3,4,3,4,2,3,2,2,4,3,5,4,2
80083,3,4,4,4,3,3,3,3,5,1,3,4,3
42783,1,1,1,4,2,1,2,2,3,5,4,4,2
39020,1,1,1,1,4,3,4,4,4,4,4,4,4
46111,4,4,3,5,2,3,2,2,4,5,4,3,2
66327,1,1,1,1,2,4,4,5,5,5,5,4,4
43012,0,0,0,4,3,4,1,2,2,2,2,2,2
82776,3,3,3,4,5,3,2,5,3,2,3,4,5
48215,1,2,1,3,5,4,3,2,2,1,2,2,3
57441,2,5,5,5,2,4,3,2,2,2,2,3,4
55928,4,2,4,2,3,4,3,3,1,1,1,4,3
98446,1,0,1,2,5,1,5,5,4,5,5,1,5
121273,4,4,4,4,3,4,4,4,4,4,4,3,4
59385,3,4,3,3,5,3,5,5,3,2,4,5,5
27078,4,4,4,4,5,4,5,5,1,2,5,3,5
104661,4,4,4,4,2,5,4,3,3,3,3,5,5
111483,3,4,4,3,4,4,4,4,3,3,2,3,4
11558,2,2,2,2,5,5,5,5,5,2,4,5,5
83673,3,3,3,3,2,3,2,2,2,3,3,4,2
120382,4,4,4,2,3,4,3,3,5,4,4,4,3
82170,1,5,1,1,2,1,3,2,5,2,4,3,2
117397,4,4,4,4,4,4,4,4,4,4,4,4,5
59357,4,4,4,4,4,3,4,5,5,5,5,4,4
91983,4,4,4,4,3,3,4,5,5,4,5,4,4
119617,2,2,3,2,4,5,5,4,4,4,4,4,4
90639,1,1,1,1,3,4,4,4,4,5,4,5,4
59638,2,1,1,1,5,3,3,2,2,2,2,4,1
